the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2021-04-22,531,positive,2022-03-08 16:00:02
,,2020-12-22,7635,negative,2022-03-08 16:00:02
,,2021-05-02,215,positive,2022-03-08 16:00:02
,,2021-09-19,3137,negative,2022-03-08 16:00:02
,,2022-01-30,211,positive,2022-03-08 16:00:02
,,2020-03-13,121,negative,2022-03-08 16:00:02
,,2020-07-14,196,positive,2022-03-08 16:00:02
,,2021-03-28,2736,negative,2022-03-08 16:00:02
,,2020-11-23,1295,positive,2022-03-08 16:00:02
,,2021-05-25,116,positive,2022-03-08 16:00:02
,,2021-02-01,2686,negative,2022-03-08 16:00:02
,,2020-06-09,2320,negative,2022-03-08 16:00:02
,,2021-10-18,269,positive,2022-03-08 16:00:02
,,2022-03-06,1280,negative,2022-03-08 16:00:02
,,2020-06-22,130,positive,2022-03-08 16:00:02
,,2022-02-21,106,positive,2022-03-08 16:00:02
,,2021-10-31,2089,negative,2022-03-08 16:00:02
,,2022-02-13,1433,negative,2022-03-08 16:00:02
,,2020-06-30,2713,negative,2022-03-08 16:00:02
,,2021-10-07,326,positive,2022-03-08 16:00:02
,,2021-01-21,9551,negative,2022-03-08 16:00:02
,,2021-06-05,42,positive,2022-03-08 16:00:02
,,2022-01-27,6876,negative,2022-03-08 16:00:02
,,2021-09-22,345,positive,2022-03-08 16:00:02
,,2020-07-17,3721,negative,2022-03-08 16:00:02
,,2021-12-19,543,positive,2022-03-08 16:00:02
,,2021-08-28,3195,negative,2022-03-08 16:00:02
,,2020-08-25,121,positive,2022-03-08 16:00:02
,,2020-04-04,961,negative,2022-03-08 16:00:02
,,2021-09-11,240,positive,2022-03-08 16:00:02
,,2020-08-07,3262,negative,2022-03-08 16:00:02
,,2020-03-21,94,positive,2022-03-08 16:00:02
,,2022-01-06,8318,negative,2022-03-08 16:00:02
,,2021-05-10,10691,negative,2022-03-08 16:00:02
,,2021-01-15,552,positive,2022-03-08 16:00:02
,,2020-11-04,652,positive,2022-03-08 16:00:02
,,2021-03-15,7825,negative,2022-03-08 16:00:02
,,2020-05-16,1366,negative,2022-03-08 16:00:02
,,2021-07-17,2024,negative,2022-03-08 16:00:02
,,2021-11-27,269,positive,2022-03-08 16:00:02
,,2020-09-16,97,positive,2022-03-08 16:00:02
,,2021-02-11,8489,negative,2022-03-08 16:00:02
,,2021-06-16,26,positive,2022-03-08 16:00:02
,,2022-03-06,30,positive,2022-03-08 16:00:02
,,2021-10-18,7458,negative,2022-03-08 16:00:02
,,2020-06-09,144,positive,2022-03-08 16:00:02
,,2020-11-11,1127,positive,2022-03-08 16:00:02
,,2021-03-08,7781,negative,2022-03-08 16:00:02
,,2020-09-10,3815,negative,2022-03-08 16:00:02
,,2021-08-12,358,positive,2022-03-08 16:00:02
,,2020-04-20,626,positive,2022-03-08 16:00:02
,,2021-12-03,9765,negative,2022-03-08 16:00:02
,,2020-12-20,366,positive,2022-03-08 16:00:02
,,2021-05-04,10499,negative,2022-03-08 16:00:02
,,2020-12-04,1152,positive,2022-03-08 16:00:02
,,2021-04-18,3284,negative,2022-03-08 16:00:02
,,2021-08-19,4815,negative,2022-03-08 16:00:02
,,2021-12-28,4828,positive,2022-03-08 16:00:02
,,2020-08-16,47,positive,2022-03-08 16:00:02
,,2020-04-13,521,negative,2022-03-08 16:00:02
,,2020-11-16,6573,negative,2022-03-08 16:00:02
,,2021-04-04,362,positive,2022-03-08 16:00:02
,,2020-05-08,1610,negative,2022-03-08 16:00:02
,,2021-11-19,304,positive,2022-03-08 16:00:02
,,2020-09-24,120,positive,2022-03-08 16:00:02
,,2021-07-25,1905,negative,2022-03-08 16:00:02
,,2020-10-22,6051,negative,2022-03-08 16:00:02
,,2021-02-24,321,positive,2022-03-08 16:00:02
,,2021-11-05,9301,negative,2022-03-08 16:00:02
,,2021-07-07,42,positive,2022-03-08 16:00:02
,,2020-05-26,245,positive,2022-03-08 16:00:02
,,2020-10-08,5611,negative,2022-03-08 16:00:02
,,2021-10-27,236,positive,2022-03-08 16:00:02
,,2022-02-25,5840,negative,2022-03-08 16:00:02
,,2020-06-18,2276,negative,2022-03-08 16:00:02
